Name,DatePublished,RatingValue,Review
PupSocks,2021-02-11T03:57:30+00:00,5,"We ordered socks for our kids with their 2 pooches of which one has passed. They LOVE them, I think it may be the best gift that they have received for Christmas-  better than cash! Plus, the shipping was very, very fast!"
PupSocks,2021-02-10T22:52:30+00:00,5,"The socks look amazing! They did a great job incorporating my pictures I submitted of my dog. I got this as a gift for my wife and she loves how they look! In her words, ""they're soooo cute"".I do also want to give a shout out to the service I received as well. I ordered in November and due to post office issues there was a large delay. By mid January, Pupsocks contacted me to state that they were re-sending my order as it was clear something had gone awry with the post office. The initiative on their part to do this was awesome.Only critique from my wife is the shape. The socks do not narrow any at the  mid foot and are a bit tight at the top. She is a 6.5 and I ordered the Womens 4-8 size. However, this most likely won't be a problem because she says their so cute she doesn't even want to use them!"
PupSocks,2021-02-10T15:51:15+00:00,5,Great product ! My daughter an RVT loved them as a  gift. Note ordering socks recommend ordering a size down. Size S socks was a little larger than expected but still great nonetheless.
PupSocks,2021-02-09T20:37:14+00:00,1,"Received email advertisements to make orders by a certain date to recieve before Christmas. Made my order on Nov 25th a few days before ""deadline."" Here it is Feb 9th...Christmas came and passed. On Dec 21st a pre-drafted mass email was sent out blaming any late orders on USPS...figured there might be a slow-down, because its Christmas (fair enough). I sent a response email with my order number to help track where mine might be. Response back was after Christmas (Jan 6th) speaking to unforseen high volumes of emails cluttering customer service. My order was found still being processed in production... not lost in shipping by another entity. In the time since my original order I have received about 45 advertisement emails for additional orders and products... seems as though the marketing department is over staffed while the production department is in the under."
PupSocks,2021-02-09T13:25:11+00:00,5,"Follow up was awesome! The post office was slow to deliver,and you sent us a free pair.They loved it!"
PupSocks,2021-02-09T01:23:49+00:00,1,My blanket sheds. We've washed it several times. I had an email thread going and No one ever got back to me and I spent a lot of money on the Christmas gift that is not being used. So frustrating. I also bought socks. Looks cool but so uncomfortable. I dont even know what is happening with the material with this company.  They must be taking in money because the quality is cheap it's so expensive and lord knows there will be no refunds.
PupSocks,2021-02-08T20:24:57+00:00,5,"The socks turned out absolutely darling! I was expecting them to touch base with me regarding the mock-up but they seemed to understand what I wanted, so there was no need. Also, when it looked like the socks were not going to make it for Christmas they sent a picture of the socks so that I had something to give for a gift. They socks were delivered not long after Christmas."
PupSocks,2021-02-08T18:30:43+00:00,2,"The images on the socks were spot on and super cute. However, the socks themselves were not socks. The material is unwearable and I feel the money was wasted on these socks."
PupSocks,2021-02-08T12:44:08+00:00,1,If I could give a negative rating I would.  I had two separate orders.  Besides being late - I was satisfied with one order.  The other order was late as well but do to the pandemeic I know the shipping is not in their control. A mask I ordered came with a flaw in it and I just wanted it fixed.  It's been TWO months and the Customer service has been extremely awful and unacceptable.  It takes weeks before someone will email me.  I asked for a phone number so I can speak with someone and they won't give me one.  I been very polite and friendly but NOW IM FED UP!   I DO NOT RECOMMEND.
PupSocks,2021-02-08T00:28:24+00:00,5,Thank you pup socks for making an excellent Christmas stocking stuffers with our cat's face on the socks and masks. Made a stocking stuffer from boring into extraordinary!
PupSocks,2021-02-07T21:34:34+00:00,2,"I ordered a pair for a family member in the US and they arrived. So I decided to order 2 and 4 pairs for my family and to friends in BC (Canada). This was in November. The first set’s shipping notification’s suddenly stopped, and I sent an inquiry to their customer service and they were utterly useless. They kept asking for more information, and after sending the order number, shipping tracking number, and even our Paypal transaction numbers, they still couldn’t find our order. So I called the shipping company to no avail, but after 2 months the first order showed finally showed up. The issue with the second order is ongoing, as we were hoping for Christmas delivery for a Dec. 1st order, and it’s now February. The $100 in socks are MIA, and we do get shipping updates which indicate they made it into the country, but were somehow redirected back to a shipping depot in the US. The company did send an e-mail that we sent to our friends on Dec. 24th, but more than a month later, I suppose the gesture of a Christmas gift is gone. Maybe they will arrive in time for Spring?!!!"
PupSocks,2021-02-07T17:00:38+00:00,1,"i received a shipped email but no tracking number or date of expected delivery, very fishy so i emailed, messaged on Facebook and instagram and NO REPLY! all you get is daily marketing emails and auto replies mentioning the same email to contact (the one that no one replies to). waiting to know if this company is a scam and just bought all their followers. will definitely expose if this is true"
PupSocks,2021-02-07T16:41:50+00:00,1,"Sent the wrong socks and wanted a photo sent to them of the socks I received like I was scamming them for a second pair.  Finally received correct socks after two months.  Worst pair of socks ever.  Straight sock, no heel bend so they bunch and slide during first wearing.  Love the idea but give a better company your money."
PupSocks,2021-02-07T13:59:04+00:00,1,They sent the wrong socks (not my dog). I emailed customer service and sent them pic of socks I got.  They said they would send correct ones with 7-10 days but it’s been almost 2 months and they won’t respond to any of my emails.  Very poor customer service.  Interesting I get promo emails every couple days but can’t get anyone live to correct this.
PupSocks,2021-02-07T13:20:04+00:00,1,"There were several issues regarding my order. The biggest one was that it got lost and was never delivered to the person I ordered it for. He contacted pup socks and they said they’ll deal with it but he never got a further update. The shipping dates on their website are incorrect. I was surprised to see that they ship internationally so fast while corona is going on, but after my payment was processed there was a message on the screen that instead of advertised 10 business days I think, it’s going to be up to 35. The tracking number they gave me with asendia doesn’t work. It constantly says the package has left the US and there are no further updates... since November! Yet I know the package has arrived to Austria since my partner had to pay 25 euro customs fee because they didn’t include a receipt into the package. I’ve sent them a few emails with other questions a few months back, and got no reply as well. I’ve sent them another email prior to this review and got no reply. So to sum up, 3 months wait, lost 100 dollar order, 25 euro customs fee because they didn’t include a receipt in the package, company is non responsive. So my suggestion would be to order from another company. There’s plenty of places where you can get custom prints on socks and blankets."
PupSocks,2021-02-06T21:55:00+00:00,1,"We received socks with random pets on them, not our dogs' pictures. Tried many times to contact the company, and only received automated messages saying volume was high due to COVID. I ordered these in mid December for Christmas. Almost two months later, I have not received the socks I ordered, nor have I been refunded."
PupSocks,2021-02-06T19:04:21+00:00,1,Still have not received the order yet.  3 months
